POST 2025-12-14T16:19:45+08:00 | Action: set_delivery_start_date | OrderID: 197
POST 2025-12-16T09:12:40+08:00 | Action: assign_rider | OrderID: 201
POST 2025-12-16T09:23:57+08:00 | Action: update_status | OrderID: 196
POST 2025-12-16T10:29:28+08:00 | Action: set_delivery_start_date | OrderID: 202
POST 2025-12-16T10:30:02+08:00 | Action: assign_rider | OrderID: 202
POST 2025-12-16T10:34:50+08:00 | Action: verify_proof | OrderID: 202
POST 2025-12-16T10:36:54+08:00 | Action: assign_rider | OrderID: 196
POST 2025-12-16T10:47:50+08:00 | Action: resend_rider_sms | OrderID: 196
POST 2025-12-16T10:50:35+08:00 | Action: set_delivery_start_date | OrderID: 203
POST 2025-12-16T10:51:00+08:00 | Action: assign_rider | OrderID: 203
POST 2025-12-16T10:56:44+08:00 | Action: verify_proof | OrderID: 196
POST 2025-12-16T11:02:18+08:00 | Action: assign_rider | OrderID: 193
POST 2025-12-16T11:55:55+08:00 | Action: resend_rider_sms | OrderID: 203
POST 2025-12-16T11:58:51+08:00 | Action: set_delivery_start_date | OrderID: 204
POST 2025-12-16T11:59:10+08:00 | Action: assign_rider | OrderID: 204
POST 2025-12-16T12:00:03+08:00 | Action: verify_proof | OrderID: 204
POST 2025-12-16T12:00:08+08:00 | Action: verify_proof | OrderID: 204
POST 2025-12-16T12:04:06+08:00 | Action: verify_proof | OrderID: 204
POST 2025-12-16T12:06:28+08:00 | Action: verify_proof | OrderID: 204
POST 2025-12-16T13:51:27+08:00 | Action: set_delivery_start_date | OrderID: 205
POST 2025-12-16T13:52:02+08:00 | Action: assign_rider | OrderID: 205
POST 2025-12-16T13:53:36+08:00 | Action: verify_proof | OrderID: 205
POST 2025-12-16T13:59:20+08:00 | Action: set_delivery_start_date | OrderID: 206
POST 2025-12-16T13:59:49+08:00 | Action: assign_rider | OrderID: 206
POST 2025-12-17T06:24:44+08:00 | Action: resend_rider_sms | OrderID: 203
POST 2025-12-17T06:25:30+08:00 | Action: verify_proof | OrderID: 203
POST 2025-12-17T08:06:30+08:00 | Action: set_delivery_start_date | OrderID: 209
POST 2025-12-17T08:07:05+08:00 | Action: assign_rider | OrderID: 209
POST 2025-12-17T08:08:03+08:00 | Action: verify_proof | OrderID: 209
POST 2025-12-17T08:42:14+08:00 | Action: set_delivery_start_date | OrderID: 210
POST 2025-12-17T08:42:53+08:00 | Action: assign_rider | OrderID: 210
POST 2025-12-17T08:48:54+08:00 | Action: set_delivery_start_date | OrderID: 211
POST 2025-12-17T08:49:19+08:00 | Action: assign_rider | OrderID: 211
